"","tid","treplyid","root","rlevel","maxdesc","words","lppl","uid","seed"
"1",515275088552525824,9218868437227407266,515275088552525824,0,5,16,5.90175991585894,55592183,405728790
"2",515276704097771520,515275088552525824,515275088552525824,1,5,15,8.34102505351786,363961928,405728790
"3",515277566895464448,515276704097771520,515275088552525824,2,5,8,8.95496980638506,55592183,405728790
"4",515278484277821440,515277566895464448,515275088552525824,3,5,11,7.25932898834792,363961928,405728790
"5",515280174351659008,515278484277821440,515275088552525824,4,5,17,5.7248712425144,55592183,405728790
"6",515281299633094656,515280174351659008,515275088552525824,5,5,14,6.87206535714499,363961928,405728790
"7",519635660504707072,9218868437227407266,519635660504707072,0,6,4,12.3083902289761,110288084,405728790
"8",519637826678190080,519635660504707072,519635660504707072,1,6,16,8.8959660067055,403171568,405728790
"9",519638053162192896,519637826678190080,519635660504707072,2,6,1,10.6052943078373,110288084,405728790
"10",519638264014049280,519638053162192896,519635660504707072,3,6,7,7.27905335871814,403171568,405728790
"11",519638472760369152,519638264014049280,519635660504707072,4,6,6,10.4807599132683,110288084,405728790
"12",519639616127651840,519638472760369152,519635660504707072,5,6,25,7.49829874378124,403171568,405728790
"13",519640290655629312,519639616127651840,519635660504707072,6,6,6,6.37042761113779,110288084,405728790
"14",533295202417381376,9218868437227407266,533295202417381376,0,8,1,6.38110337053095,2398245474,405728790
"15",533295219957956608,533295202417381376,533295202417381376,1,8,1,7.02761853443812,2398245474,405728790
"16",533295243571888128,533295219957956608,533295202417381376,2,8,3,6.4901705743828,2398245474,405728790
"17",533295264342106112,533295243571888128,533295202417381376,3,8,1,6.73553571603782,2398245474,405728790
"18",533295288010563584,533295264342106112,533295202417381376,4,8,2,7.67314650921515,2398245474,405728790
"19",533295311104393216,533295288010563584,533295202417381376,5,8,1,7.41832489907452,2398245474,405728790
"20",533295352019812352,533295311104393216,533295202417381376,6,8,6,10.0151641270811,2398245474,405728790
"21",533295390183792640,533295352019812352,533295202417381376,7,8,1,7.41832489907452,2398245474,405728790
"22",533295405115510784,533295390183792640,533295202417381376,8,8,1,7.61155602451931,2398245474,405728790
"23",537063259463876608,9218868437227407266,537063259463876608,0,4,10,6.79886705025578,405728790,405728790
"24",537063290921558016,537063259463876608,537063259463876608,1,4,1,5.96892708833834,1729841617,405728790
"25",537063398534819840,537063290921558016,537063259463876608,2,4,2,3.96226212110527,1729841617,405728790
"26",537063609986068480,537063398534819840,537063259463876608,3,4,12,6.34306309781809,405728790,405728790
"27",537064088552345600,537063609986068480,537063259463876608,4,4,21,6.31698200227265,2199799554,405728790
"28",540646369917022208,9218868437227407266,540646369917022208,0,6,13,5.07672582656651,95112409,405728790
"29",540652506942959616,540646369917022208,540646369917022208,1,6,4,11.5864692172648,1398273060,405728790
"30",540652564140675072,540652506942959616,540646369917022208,2,6,4,8.9929921353703,95112409,405728790
"31",540652665428926464,540652564140675072,540646369917022208,3,6,5,7.0264459803038,1398273060,405728790
"32",540652767291772928,540652665428926464,540646369917022208,4,6,6,7.58506769339945,95112409,405728790
"33",540652868580032512,540652767291772928,540646369917022208,5,6,5,7.1480697738034,1398273060,405728790
"34",540653314052874240,540652868580032512,540646369917022208,6,6,2,5.39897279509194,95112409,405728790
"35",542162820809650176,9218868437227407266,542162820809650176,0,4,11,5.96742686741507,2293603398,405728790
"36",542163518456602624,542162820809650176,542162820809650176,1,4,28,7.16120244101634,2293603398,405728790
"37",542163688544034816,542163518456602624,542162820809650176,2,4,1,6.19024742394084,2293603398,405728790
"38",542164535223013376,542163688544034816,542162820809650176,3,4,3,8.97052296049218,2293603398,405728790
"39",542165344941776896,542164535223013376,542162820809650176,4,4,7,7.19774746791187,2293603398,405728790
"40",543261860544274432,9218868437227407266,543261860544274432,0,4,5,8.19444661701472,405728790,405728790
"41",543261965070925824,543261860544274432,543261860544274432,1,4,4,11.2678751772498,2726065606,405728790
"42",543262816799453184,543261965070925824,543261860544274432,2,4,11,9.12610042755196,405728790,405728790
"43",543263238981685248,543262816799453184,543261860544274432,3,4,17,5.44465381645923,2726065606,405728790
"44",543263843510910976,543263238981685248,543261860544274432,4,4,24,8.22990030622133,2726065606,405728790
"45",544230561221718016,9218868437227407266,544230561221718016,0,5,24,8.50177350592274,858295069,405728790
"46",544230848569286656,544230561221718016,544230561221718016,1,5,27,7.30405465161258,858295069,405728790
"47",544231431959216128,544230848569286656,544230561221718016,2,5,25,8.3336875954059,858295069,405728790
"48",544231737786920960,544231431959216128,544230561221718016,3,5,32,6.73308313184512,858295069,405728790
"49",544232746059857920,544231737786920960,544230561221718016,4,5,18,7.60102046617509,858295069,405728790
"50",544233798301671424,544232746059857920,544230561221718016,5,5,22,6.73289325536705,858295069,405728790
"51",544371220012363776,9218868437227407266,544371220012363776,0,9,17,6.20337149705885,2361667753,405728790
"52",544371346302828544,544371220012363776,544371220012363776,1,9,4,8.65156479741258,156460168,405728790
"53",544371525265399808,544371346302828544,544371220012363776,2,9,7,8.29820465300569,2361667753,405728790
"54",544371594781818880,544371525265399808,544371220012363776,3,9,1,9.84475910940871,156460168,405728790
"55",544371902417240064,544371594781818880,544371220012363776,4,9,7,6.94219778142027,2361667753,405728790
"56",544372063528824832,544371902417240064,544371220012363776,5,9,9,7.38360926152719,156460168,405728790
"57",544372320052465664,544372063528824832,544371220012363776,6,9,6,6.55727375498918,2361667753,405728790
"58",544372434716340224,544372320052465664,544371220012363776,7,9,2,5.92525177595464,156460168,405728790
"59",544372753349230592,544372434716340224,544371220012363776,8,9,13,6.67166135999559,2361667753,405728790
"60",544372835331108864,544372753349230592,544371220012363776,9,9,3,9.81778791742875,156460168,405728790
"61",544981027739811840,9218868437227407266,544981027739811840,0,4,20,6.81320399775429,2361667753,405728790
"62",544981201845379072,544981027739811840,544981027739811840,1,4,6,8.85846906583884,156460168,405728790
"63",544981531786092544,544981201845379072,544981027739811840,2,4,13,5.58938598831678,2361667753,405728790
"64",544981689919762432,544981531786092544,544981027739811840,3,4,3,8.6611082468126,156460168,405728790
"65",544982143089541120,544981689919762432,544981027739811840,4,4,1,5.98994734421338,2361667753,405728790
"66",545403493700206592,9218868437227407266,545403493700206592,0,4,3,8.59549993083048,205423967,405728790
"67",545403597283143680,545403493700206592,545403493700206592,1,4,7,5.13558411886507,2894005737,405728790
"68",545403767462440960,545403597283143680,545403493700206592,2,4,5,3.79551761257869,205423967,405728790
"69",545403996278902784,545403767462440960,545403493700206592,3,4,12,9.69010451033966,2894005737,405728790
"70",545404053715296256,545403996278902784,545403493700206592,4,4,4,2.99345336705378,205423967,405728790
"71",547524045018001408,9218868437227407266,547524045018001408,0,4,1,7.36147887916056,2825905798,405728790
"72",547524481070428160,547524045018001408,547524045018001408,1,4,5,5.4247911113469,2825905798,405728790
"73",547525251283030016,547524481070428160,547524045018001408,2,4,8,6.28530048677903,2715147725,405728790
"74",547525349752729600,547525251283030016,547524045018001408,3,4,4,7.4853785218401,2825905798,405728790
"75",547525426420412416,547525349752729600,547524045018001408,4,4,10,7.36591120620903,2715147725,405728790
"76",549443288605147136,9218868437227407266,549443288605147136,0,4,15,7.3147055877826,2471241978,405728790
"77",549443451654135808,549443288605147136,549443288605147136,1,4,5,7.17044588060955,2541854413,405728790
"78",549443959396007936,549443451654135808,549443288605147136,2,4,4,6.04899247792489,2471241978,405728790
"79",549444059148713984,549443959396007936,549443288605147136,3,4,1,11.2109148160739,2541854413,405728790
"80",549444565602938880,549444059148713984,549443288605147136,4,4,1,9.28980219594748,2471241978,405728790
"81",549672120671019008,9218868437227407266,549672120671019008,0,6,17,5.44849464052401,310072711,405728790
"82",549672554664062976,549672120671019008,549672120671019008,1,6,6,6.29180060386857,120506040,405728790
